Company ,Employer/Aggregator,Priority,Checked,JBoard,Job Listing (1) ,Job Listing (2) ,Status,Issue,Search term alt protein,Additional data / notes,Company's general website,,
Air Protein,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/8902,https://jobs.lever.co/airprotein,https://www.linkedin.com/jobs/search/?currentJobId=3628074179&f_C=19155158&geoId=92000000&originToLandingJobPostings=3628074179%2C3609347273%2C3609346350%2C3609347274,Works but missing jobs,JBoard showing 1 expired job and missing 1 job listed on website,https://altproteincareers.com/jobs?q=air+protein&category=&posted_at=&location=&location_id=3&search_radius=,sometimes Beyond also appears in APC search,https://airprotein.com/join-the-team,,
Nature's Fynd,Aggregator,1,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7128,https://jobs.lever.co/naturesfynd,,Works but missing jobs,JBoard has 3 jobs listed but 4 jobs listed on Company's Lever,https://altproteincareers.com/jobs?q=nature%27s+fynd&category=&posted_at=&location=&location_id=&search_radius=,,https://www.naturesfynd.com/careers,,
New Culture Foods,Aggregator,2,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7363,https://jobs.lever.co/newculturefood/,,No jobs on JBoard but jobs listed on Lever,No jobs listed on JBoard but 2 jobs listed on Company's Lever,https://altproteincareers.com/jobs?q=new+culture+foods&category=&posted_at=&location=&location_id=3&search_radius=,other companies appear under New Culture Foods search on APC,https://www.newculture.com/careers/,,
NotCo,Aggregator,3,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7027,https://jobs.lever.co/thenotcompany,https://www.linkedin.com/jobs/search/?currentJobId=3626924917&f_C=10147244&geoId=92000000&originToLandingJobPostings=3626924917%2C3590927468%2C3627141313%2C3623815229%2C3638312433%2C3643884774%2C3625357509%2C3597880504%2C3634498949,"Fixed
Missing jobs on JBoard","Old Url
No jobs listed on JBoard but 2 US-based jobs on Company's Lever",https://altproteincareers.com/jobs?q=notco&category=&posted_at=&location=&location_id=3&search_radius=,,https://notco.com/us/about/notco-squad,,
Anthology,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/10967,https://jobs.polymer.co/anthology-biotechnologies-inc,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=anthology&category=&posted_at=&location=&location_id=3&search_radius=,Company website does not look active,,,
Meli Bio ,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7148,https://melibio-inc.breezy.hr/,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=melibio&category=&posted_at=&location=&location_id=3&search_radius=,,https://melibio-inc.breezy.hr/,,
Mission Barns,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/6938,https://missionbarns.com/careers/,,Works,Missing Open Application,https://altproteincareers.com/jobs?q=mission+barns&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard Aggregator is ""missionbarns.com"" instead of Mission Barns",https://missionbarns.com/careers/,,
MyForest Foods ,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7356,https://myforestfoods.com/careers,,"Has Jobs but expired Jobs (old)
No jobs on JBoard but jobs listed on website","Expired Jobs in JBoard
No jobs listed on JBoard but 2 jobs on Company's website",https://altproteincareers.com/jobs?q=myforest+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://myforestfoods.com/,,
Triplebar ,Aggregator,4,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7432,https://boards.greenhouse.io/triplebar,,"Updated
Works","New Job page
Missing General Interest",https://altproteincareers.com/jobs?q=triplebar&category=&posted_at=&location=&location_id=3&search_radius=,,https://triplebar.com/careers/,,
UPSIDE Foods,Aggregator,5,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/11732,https://www.linkedin.com/jobs/search/?currentJobId=3691675738&f_C=7603949&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3691675738%2C3687954169%2C3726521261%2C3737732950%2C3728107102%2C3730049941%2C3705636271%2C3706285265%2C3684162103,https://www.linkedin.com/jobs/search/?currentJobId=3581067776&f_C=7603949&geoId=92000000&originToLandingJobPostings=3581067776%2C3570428354%2C3621927531%2C3573255682%2C3597726306%2C3605618945%2C3615777630%2C3609535991%2C3606783343,"Fixed with LinkedIn
Missing jobs on JBoard","On JBoard 2 Director MSAT duplicate jobs listed as active
JBoard is missing 8 jobs listed on Company website 
1 expired job on JBoard",https://altproteincareers.com/jobs?q=upside&category=&posted_at=&location=&location_id=3&search_radius=,,https://upsidefoods.com/careers?gclid=CjwKCAiA3aeqBhBzEiwAxFiOBlCzZibp0oouijjna3JrOqm6-WrcQtA8GaNbTlUWDHp-IPcTqEkZxBoC4F4QAvD_BwE,,
Wayfare Foods,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7666,https://wayfarefoods.com/open-positions/,,"Broken
No jobs on JBoard but jobs listed on website","Page Offline
JBoard says ""unable to detect jobs"" 
No jobs listed on JBoard but 2 jobs listed on Company's website",https://altproteincareers.com/jobs?q=wayfare+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://wayfarefoods.com/contact/careers/,,
Wild Earth,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7016,https://wild-earth.breezy.hr/,,Works. No jobs online.,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=wild+earth&category=&posted_at=&location=&location_id=3&search_radius=,,https://wild-earth.breezy.hr/,,
Bolthouse Farms,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7426,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=bdd456bf-a007-4552-b846-ab61632962f6&ccId=19000101_000001&type=MP&lang=en_US,,No jobs on JBoard but jobs listed on workforcenow,"No jobs listed on JBoard but 53 jobs on workforcenow
JBoard says 2 jobs failed validation ",https://altproteincareers.com/jobs?q=bolthouse+farms&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard Aggregator is ""workforcenow.adp.com"" instead of Bolthouse Farms",https://www.bolthouse.com/jobs/,,
Blue Diamond Growers,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7025,https://www.bluediamond.com/careers/#latest-openings,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 7 jobs on Company's website,https://altproteincareers.com/jobs?q=blue+diamond&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.bluediamond.com/careers/#latest-openings,,
BlueNalu,Aggregator,6,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/7026,https://www.bluenalu.com/careers,,Works but missing jobs on JBoard,JBoard missing Pilot Plant Technician 3rd Shift,https://altproteincareers.com/jobs?q=bluenalu&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.bluenalu.com/careers,,
The Good Food Institute,Aggregator,7,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/6954,https://gfi.org/careers/,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 3 jobs on Company's website,https://altproteincareers.com/jobs?q=gfi&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard  Aggregator is ""gfi.org"" instead of the Good Food Institute
Sometimes 0-2 jobs appear in APC search",https://gfi.org/careers/,,
ClimateWorks Foundation,Aggregator,,11/7/23,https://app.jboard.io/board/4328/importer/auto-importer/11787,https://www.climateworks.org/careers/,,Missing jobs on JBoard,JBoard missing 8 jobs listed on Company's website,https://altproteincareers.com/jobs?q=climate+works&category=&posted_at=&location=&location_id=3&search_radius=,"Name on JBoard  Aggregator is ""climateworks.org"" instead of the Climate Works Foundation",https://www.climateworks.org/,,
Petaluma,Employer,,,,,,,,,,,,
Stanford,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11783,https://www.foodlabstanford.com/open-positions,,Missing job on JBoard,"JBoard says ""unable to detect jobs""
No jobs listed on JBoard but Data Scientist listed on website ",https://altproteincareers.com/jobs?q=stanford&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.foodlabstanford.com/open-positions,,
Plant Based Foods Association,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11782,https://www.plantbasedfoods.org/careers/,,No jobs,"JBoard says ""unable to detect jobs""",https://altproteincareers.com/jobs?q=plant+based+foods+association&category=&posted_at=&location=&location_id=3&search_radius=,UPSIDE jobs appear for APC search,https://www.plantbasedfoods.org/careers/,,
Madre Brava,Employer,,,,,,,,,,,,
Plant Powered Metro New York,Employer,,,,,,,,,,,,
Nourish Ingredients,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11727,https://www.linkedin.com/jobs/search/?currentJobId=3726933277&f_C=38074854&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3726933277%2C3723383536%2C3574137241,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 3 jobs on LinkedIn and 2 jobs on Company's website,https://altproteincareers.com/jobs?q=nourish&category=&posted_at=&location=&location_id=3&search_radius=,,https://au.linkedin.com/company/nourish-ingredients,https://nourishing.io/careers/,
Nasoya,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11666,https://www.linkedin.com/jobs/search/?currentJobId=3737253955&f_C=10685632&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3737253955%2C3730229426%2C3730774725%2C3730790217%2C3730237026%2C3730229214%2C3730228750,,No jobs on JBoard but jobs listed on website,"JBoard says ""unable to detect jobs""
No jobs listed on JBoard but 7 jobs on LinkedIn ",https://altproteincareers.com/jobs?q=nasoya&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.nasoya.com/about-us/,,
Applied Food Sciences,Employer,,,,,,,,,,,,
Konscious Foods,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11664,https://www.linkedin.com/jobs/search/?currentJobId=3709752976&f_C=82854049&geoId=92000000&origin=COMPANY_PAGE_JOBS_CLUSTER_EXPANSION&originToLandingJobPostings=3709752976,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 1 job on Company's website,https://altproteincareers.com/jobs?q=konscious+foods&category=&posted_at=&location=&location_id=3&search_radius=,,https://ca.linkedin.com/company/konsciousfoods,https://www.konscious.com/pages/about,
Wenger,Employer,,,,,,,,,,,,
MycoWorks,Aggregator,8,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/11629,https://www.mycoworks.com/careers,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 15 US-based jobs on Company's website,https://altproteincareers.com/jobs?q=mycoworks&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.mycoworks.com/careers,,
Ark Biotech,Aggregator,,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7167,https://www.linkedin.com/jobs/search/?currentJobId=3575818120&f_C=80166987&geoId=92000000&originToLandingJobPostings=3575818120,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 6 jobs on Company's website,https://altproteincareers.com/jobs?q=ark+biotech&category=&posted_at=&location=&location_id=3&search_radius=,,https://ark-biotech.com/,,
Three Trees,Employer,,,,,,,,,,threetrees.com,,
Meati ,Aggregator,9,11/8/23,https://app.jboard.io/board/4328/importer/auto-importer/7031,https://www.linkedin.com/jobs/search/?currentJobId=3731947846&f_C=11059874&geoId=92000000&origin=JOB_SEARCH_PAGE_JOB_FILTER,,No jobs on JBoard but jobs listed on website,No jobs listed on JBoard but 7 jobs on Company's website,https://altproteincareers.com/jobs?q=meati&category=&posted_at=&location=&location_id=3&search_radius=,,https://www.linkedin.com/company/meati,https://boards.greenhouse.io/meatifoods,
Essential,Employer,,,,,,,,,,www.essentialimpact.org,,
,,,,,,,,,,,,,
